Date,Time,Position,Entry Price,Exit Price
01-01-2020,09:31,buy,32346.6,
01-01-2020,09:48,buy Square Off,,32182.8
02-01-2020,09:31,buy,32239.3,
02-01-2020,15:15,buy Square Off,,32453.6
03-01-2020,09:31,sell,32227.8,
03-01-2020,15:15,sell Square Off,,32058.6
06-01-2020,09:31,sell,31512.5,
06-01-2020,15:15,sell Square Off,,31240.8
07-01-2020,09:33,buy,31839.6,
07-01-2020,10:08,buy Square Off,,31673.7
08-01-2020,09:31,buy,31102.6,
08-01-2020,15:15,buy Square Off,,31372.3
09-01-2020,10:24,buy,31888.2,
09-01-2020,15:15,buy Square Off,,32103.2
10-01-2020,09:33,sell,32124.3,
10-01-2020,10:39,sell Square Off,,32286.1
14-01-2020,10:36,sell,32010.3,
14-01-2020,15:15,sell Square Off,,32065.8
15-01-2020,09:31,sell,31797.3,
15-01-2020,15:15,sell Square Off,,31822.9
16-01-2020,09:41,buy,31982.4,
16-01-2020,10:31,buy Square Off,,31815.8
17-01-2020,09:45,buy,31621.1,
17-01-2020,15:15,buy Square Off,,31601
20-01-2020,09:32,sell,31569.6,
20-01-2020,15:15,sell Square Off,,31073.6
21-01-2020,09:31,buy,31076,
21-01-2020,10:55,buy Square Off,,30904.4
22-01-2020,09:33,sell,30983,
22-01-2020,15:15,sell Square Off,,30705.3
23-01-2020,09:31,buy,30896.8,
23-01-2020,11:13,buy Square Off,,30742.3
24-01-2020,09:37,buy,31115.6,
24-01-2020,15:15,buy Square Off,,31256.4
27-01-2020,09:38,buy,31131.8,
27-01-2020,13:45,buy Square Off,,30968.2
28-01-2020,09:31,buy,30982.2,
28-01-2020,14:32,buy Square Off,,30826.8
29-01-2020,09:34,sell,30872.9,
29-01-2020,10:35,sell Square Off,,31030.5
30-01-2020,09:32,sell,30693.8,
30-01-2020,15:15,sell Square Off,,30648.8
31-01-2020,09:41,sell,30835.4,
31-01-2020,14:18,sell Square Off,,31013.7
01-02-2020,09:45,buy,30751.3,
01-02-2020,12:55,buy Square Off,,30587.3
03-02-2020,09:33,sell,29647.1,
03-02-2020,09:49,sell Square Off,,29817.2
04-02-2020,09:31,buy,30322.7,
04-02-2020,15:15,buy Square Off,,30681.6
05-02-2020,09:32,buy,30835.3,
05-02-2020,12:02,buy Square Off,,30671.9
06-02-2020,09:31,sell,31007.3,
06-02-2020,11:56,sell Square Off,,31163.4
07-02-2020,10:26,sell,31128.4,
07-02-2020,12:51,sell Square Off,,31294.6
10-02-2020,09:31,sell,31044.5,
10-02-2020,15:15,sell Square Off,,31068.4
11-02-2020,09:31,buy,31440.6,
11-02-2020,15:00,buy Square Off,,31277.2
12-02-2020,10:16,buy,31572.9,
12-02-2020,15:15,buy Square Off,,31480.7
13-02-2020,09:36,sell,31376.4,
13-02-2020,15:15,sell Square Off,,31226.3
14-02-2020,09:32,buy,31427.1,
14-02-2020,10:46,buy Square Off,,31265.4
17-02-2020,13:42,sell,30630.5,
17-02-2020,15:15,sell Square Off,,30669.1
18-02-2020,09:31,sell,30455.4,
18-02-2020,15:15,sell Square Off,,30615.2
18-02-2020,15:16,sell Square Off,,30613.5
19-02-2020,09:34,sell,30720.1,
19-02-2020,15:15,sell Square Off,,30825.8
20-02-2020,09:35,buy,30940.8,
20-02-2020,15:15,buy Square Off,,30960.7
24-02-2020,12:22,buy,30691.8,
24-02-2020,14:30,buy Square Off,,30531.2
25-02-2020,09:41,sell,30335.6,
25-02-2020,10:04,sell Square Off,,30507.2
26-02-2020,11:07,sell,30177.6,
26-02-2020,13:19,sell Square Off,,30351.1
27-02-2020,09:32,sell,30079.1,
27-02-2020,15:15,sell Square Off,,30205.4
28-02-2020,09:37,sell,29407.3,
28-02-2020,15:15,sell Square Off,,29139.5
02-03-2020,14:46,sell,29265.1,
02-03-2020,15:15,sell Square Off,,28628.1
03-03-2020,10:19,sell,28935,
03-03-2020,10:19,sell Square Off,,29125.7
04-03-2020,09:33,sell,28930.7,
04-03-2020,15:15,sell Square Off,,28703
05-03-2020,09:31,sell,28592.4,
05-03-2020,09:36,sell Square Off,,28752.4
06-03-2020,10:02,buy,27800.4,
06-03-2020,10:02,buy Square Off,,27620.8
09-03-2020,09:38,sell,26809.1,
09-03-2020,15:15,sell Square Off,,26490.7
12-03-2020,10:40,sell,24727.3,
12-03-2020,10:40,sell Square Off,,24901.1
13-03-2020,10:22,sell,21351.7,
13-03-2020,10:23,sell Square Off,,22698.3
16-03-2020,09:31,sell,23466.3,
16-03-2020,09:33,sell Square Off,,23625.2
17-03-2020,09:56,buy,23439,
17-03-2020,09:58,buy Square Off,,23318.4
18-03-2020,09:34,sell,21894.1,
18-03-2020,09:34,sell Square Off,,22007.5
19-03-2020,11:02,buy,19513,
19-03-2020,11:02,buy Square Off,,19368.3
20-03-2020,09:33,sell,19391.3,
