Date,Position,Entry Price,Exit Price,Profit,Loss,Total Profit/Loss
01-01-2020,buy,32346.6,32182.8,0,-163.8,-163.8
02-01-2020,buy,32239.3,32453.6,214.3,0,214.3
03-01-2020,sell,32227.8,32058.6,169.2,0,169.2
06-01-2020,sell,31512.5,31240.8,271.7,0,271.7
07-01-2020,buy,31839.6,31673.7,0,-165.9,-165.9
08-01-2020,buy,31102.6,31372.3,269.7,0,269.7
09-01-2020,buy,31888.2,32103.2,215,0,215
10-01-2020,sell,32124.3,32286.1,0,-161.8,-161.8
14-01-2020,sell,32010.3,32065.8,0,-55.5,-55.5
15-01-2020,sell,31797.3,31822.9,0,-25.6,-25.6
16-01-2020,buy,31982.4,31815.8,0,-166.6,-166.6
17-01-2020,buy,31621.1,31601,0,-20.1,-20.1
20-01-2020,sell,31569.6,31073.6,496,0,496
21-01-2020,buy,31076,30904.4,0,-171.6,-171.6
22-01-2020,sell,30983,30705.3,277.7,0,277.7
23-01-2020,buy,30896.8,30742.3,0,-154.5,-154.5
24-01-2020,buy,31115.6,31256.4,140.8,0,140.8
27-01-2020,buy,31131.8,30968.2,0,-163.6,-163.6
28-01-2020,buy,30982.2,30826.8,0,-155.4,-155.4
29-01-2020,sell,30872.9,31030.5,0,-157.6,-157.6
30-01-2020,sell,30693.8,30648.8,45,0,45
31-01-2020,sell,30835.4,31013.7,0,-178.3,-178.3
01-02-2020,buy,30751.3,30587.3,0,-164,-164
03-02-2020,sell,29647.1,29817.2,0,-170.1,-170.1
04-02-2020,buy,30322.7,30681.6,358.9,0,358.9
05-02-2020,buy,30835.3,30671.9,0,-163.4,-163.4
06-02-2020,sell,31007.3,31163.4,0,-156.1,-156.1
07-02-2020,sell,31128.4,31294.6,0,-166.2,-166.2
10-02-2020,sell,31044.5,31068.4,0,-23.9,-23.9
11-02-2020,buy,31440.6,31277.2,0,-163.4,-163.4
12-02-2020,buy,31572.9,31480.7,0,-92.2,-92.2
13-02-2020,sell,31376.4,31226.3,150.1,0,150.1
14-02-2020,buy,31427.1,31265.4,0,-161.7,-161.7
17-02-2020,sell,30630.5,30669.1,0,-38.6,-38.6
18-02-2020,sell,30455.4,30613.5,0,-158.1,-158.1
19-02-2020,sell,30720.1,30825.8,0,-105.7,-105.7
20-02-2020,buy,30940.8,30960.7,19.9,0,19.9
24-02-2020,buy,30691.8,30531.2,0,-160.6,-160.6
25-02-2020,sell,30335.6,30507.2,0,-171.6,-171.6
26-02-2020,sell,30177.6,30351.1,0,-173.5,-173.5
27-02-2020,sell,30079.1,30205.4,0,-126.3,-126.3
28-02-2020,sell,29407.3,29139.5,267.8,0,267.8
02-03-2020,sell,29265.1,28628.1,637,0,637
03-03-2020,sell,28935,29125.7,0,-190.7,-190.7
04-03-2020,sell,28930.7,28703,227.7,0,227.7
05-03-2020,sell,28592.4,28752.4,0,-160,-160
06-03-2020,buy,27800.4,27620.8,0,-179.6,-179.6
09-03-2020,sell,26809.1,26490.7,318.4,0,318.4
12-03-2020,sell,24727.3,24901.1,0,-173.8,-173.8
13-03-2020,sell,21351.7,22698.3,0,-1346.6,-1346.6
16-03-2020,sell,23466.3,23625.2,0,-158.9,-158.9
17-03-2020,buy,23439,23318.4,0,-120.6,-120.6
18-03-2020,sell,21894.1,22007.5,0,-113.4,-113.4
19-03-2020,buy,19513,19368.3,0,-144.7,-144.7
20-03-2020,sell,19391.3,19590.9,0,-199.6,-199.6
23-03-2020,sell,18277.6,16843.4,1434.2,0,1434.2
